Parti,Nombre de sièges,Nombre de voix,commune,date,election
GROEN,,1637,Aalter,2014,parlement-européen
VLAAMS BELANG,,645,Aalter,2014,parlement-européen
open vld,,2813,Aalter,2014,parlement-européen
SP.A,,1102,Aalter,2014,parlement-européen
N-VA,,3135,Aalter,2014,parlement-européen
CD&V,,4479,Aalter,2014,parlement-européen
PVDA+,,185,Aalter,2014,parlement-européen
GROEN,,2011,Aarschot,2014,parlement-européen
VLAAMS BELANG,,1594,Aarschot,2014,parlement-européen
open vld,,4495,Aarschot,2014,parlement-européen
SP.A,,2499,Aarschot,2014,parlement-européen
N-VA,,5012,Aarschot,2014,parlement-européen
CD&V,,4319,Aarschot,2014,parlement-européen
PVDA+,,443,Aarschot,2014,parlement-européen
GROEN,,933,Aartselaar,2014,parlement-européen
VLAAMS BELANG,,686,Aartselaar,2014,parlement-européen
open vld,,2013,Aartselaar,2014,parlement-européen
SP.A,,804,Aartselaar,2014,parlement-européen
N-VA,,3538,Aartselaar,2014,parlement-européen
CD&V,,1789,Aartselaar,2014,parlement-européen
PVDA+,,165,Aartselaar,2014,parlement-européen
GROEN,,622,Affligem,2014,parlement-européen
VLAAMS BELANG,,501,Affligem,2014,parlement-européen
open vld,,2464,Affligem,2014,parlement-européen
SP.A,,621,Affligem,2014,parlement-européen
N-VA,,2886,Affligem,2014,parlement-européen
CD&V,,1733,Affligem,2014,parlement-européen
PVDA+,,106,Affligem,2014,parlement-européen
MR,,1048,Aiseau-Presles,2014,parlement-européen
FDF,,146,Aiseau-Presles,2014,parlement-européen
ECOLO,,449,Aiseau-Presles,2014,parlement-européen
PS,,2304,Aiseau-Presles,2014,parlement-européen
CDH,,682,Aiseau-Presles,2014,parlement-européen
Parti Populaire,,544,Aiseau-Presles,2014,parlement-européen
PTB-GO!,,401,Aiseau-Presles,2014,parlement-européen
Stand Up USE,,10,Aiseau-Presles,2014,parlement-européen
MG,,15,Aiseau-Presles,2014,parlement-européen
VEGA,,25,Aiseau-Presles,2014,parlement-européen
LA DROITE,,123,Aiseau-Presles,2014,parlement-européen
DEBOUT LES BELGES,,314,Aiseau-Presles,2014,parlement-européen
GROEN,,766,Alken,2014,parlement-européen
VLAAMS BELANG,,422,Alken,2014,parlement-européen
open vld,,1682,Alken,2014,parlement-européen
SP.A,,897,Alken,2014,parlement-européen
N-VA,,2120,Alken,2014,parlement-européen
CD&V,,2051,Alken,2014,parlement-européen
PVDA+,,119,Alken,2014,parlement-européen
GROEN,,4708,Alost,2014,parlement-européen
VLAAMS BELANG,,4841,Alost,2014,parlement-européen
open vld,,11374,Alost,2014,parlement-européen
SP.A,,6865,Alost,2014,parlement-européen
N-VA,,17423,Alost,2014,parlement-européen
CD&V,,8579,Alost,2014,parlement-européen
PVDA+,,992,Alost,2014,parlement-européen
GROEN,,236,Alveringem,2014,parlement-européen
VLAAMS BELANG,,199,Alveringem,2014,parlement-européen
open vld,,581,Alveringem,2014,parlement-européen
SP.A,,402,Alveringem,2014,parlement-européen
N-VA,,917,Alveringem,2014,parlement-européen
CD&V,,964,Alveringem,2014,parlement-européen
PVDA+,,48,Alveringem,2014,parlement-européen
MR,,1301,Amay,2014,parlement-européen
FDF,,152,Amay,2014,parlement-européen
ECOLO,,1707,Amay,2014,parlement-européen
PS,,3328,Amay,2014,parlement-européen
CDH,,447,Amay,2014,parlement-européen
Parti Populaire,,574,Amay,2014,parlement-européen
PTB-GO!,,731,Amay,2014,parlement-européen
Stand Up USE,,6,Amay,2014,parlement-européen
