Parti,Nombre de sièges,Nombre de voix,canton,date,election
Cath/Kath,,3811,Aarschot,1925,chambre-des-représentants
Liberal/Liberaal,,826,Aarschot,1925,chambre-des-représentants
Social,,1599,Aarschot,1925,chambre-des-représentants
Frontpartij,,843,Aarschot,1925,chambre-des-représentants
Cath/Kath,,8342,Alost,1925,chambre-des-représentants
Liberal/Liberaal,,2055,Alost,1925,chambre-des-représentants
Social,,7226,Alost,1925,chambre-des-représentants
Frontpartij,,3989,Alost,1925,chambre-des-représentants
Cath/Kath,,2533,Andenne,1925,chambre-des-représentants
Liberal/Liberaal,,814,Andenne,1925,chambre-des-représentants
Social,,2820,Andenne,1925,chambre-des-représentants
Comm,,129,Andenne,1925,chambre-des-représentants
Cath/Kath,,7101,Anderlecht,1925,chambre-des-représentants
Liberal/Liberaal,,3738,Anderlecht,1925,chambre-des-représentants
Social,,9625,Anderlecht,1925,chambre-des-représentants
Comm,,1018,Anderlecht,1925,chambre-des-représentants
Frontpartij,,528,Anderlecht,1925,chambre-des-représentants
Classe moy/Middenklasse,,160,Anderlecht,1925,chambre-des-représentants
Parti National Wallon,,49,Anderlecht,1925,chambre-des-représentants
Radic. Social.,,55,Anderlecht,1925,chambre-des-représentants
Cath/Kath,,2843,Antoing,1925,chambre-des-représentants
Liberal/Liberaal,,1382,Antoing,1925,chambre-des-représentants
Social,,3567,Antoing,1925,chambre-des-représentants
Cath/Kath,,21169,Anvers,1925,chambre-des-représentants
Liberal/Liberaal,,20146,Anvers,1925,chambre-des-représentants
Social,,33568,Anvers,1925,chambre-des-représentants
Comm,,649,Anvers,1925,chambre-des-représentants
Frontpartij,,6053,Anvers,1925,chambre-des-représentants
Classe moy/Middenklasse,,2451,Anvers,1925,chambre-des-représentants
Neutr.,,308,Anvers,1925,chambre-des-représentants
Cath/Kath,,2341,Ardooie,1925,chambre-des-représentants
Liberal/Liberaal,,40,Ardooie,1925,chambre-des-représentants
Social,,677,Ardooie,1925,chambre-des-représentants
Frontpartij,,421,Ardooie,1925,chambre-des-représentants
Cath/Kath,,2452,Arendonk,1925,chambre-des-représentants
Liberal/Liberaal,,54,Arendonk,1925,chambre-des-représentants
Social,,580,Arendonk,1925,chambre-des-représentants
Frontpartij,,742,Arendonk,1925,chambre-des-représentants
Classe moy/Middenklasse,,31,Arendonk,1925,chambre-des-représentants
Cath/Kath,,2428,Arlon,1925,chambre-des-représentants
Liberal/Liberaal,,1403,Arlon,1925,chambre-des-représentants
Social,,2357,Arlon,1925,chambre-des-représentants
Radic. Social.,,86,Arlon,1925,chambre-des-représentants
Agriculteurs,,286,Arlon,1925,chambre-des-représentants
Cath/Kath,,7379,Asse,1925,chambre-des-représentants
Liberal/Liberaal,,686,Asse,1925,chambre-des-représentants
Social,,2759,Asse,1925,chambre-des-représentants
Comm,,144,Asse,1925,chambre-des-représentants
Frontpartij,,1524,Asse,1925,chambre-des-représentants
Classe moy/Middenklasse,,28,Asse,1925,chambre-des-représentants
Parti National Wallon,,5,Asse,1925,chambre-des-représentants
Radic. Social.,,15,Asse,1925,chambre-des-représentants
Cath/Kath,,2830,Assenede,1925,chambre-des-représentants
Liberal/Liberaal,,577,Assenede,1925,chambre-des-représentants
Social,,2163,Assenede,1925,chambre-des-représentants
Comm,,35,Assenede,1925,chambre-des-représentants
Frontpartij,,128,Assenede,1925,chambre-des-représentants
Christ.democrat.,,64,Assenede,1925,chambre-des-représentants
Cath/Kath,,1622,Ath,1925,chambre-des-représentants
Liberal/Liberaal,,1344,Ath,1925,chambre-des-représentants
Social,,3082,Ath,1925,chambre-des-représentants
Cath/Kath,,4769,Audenarde,1925,chambre-des-représentants
Liberal/Liberaal,,2118,Audenarde,1925,chambre-des-représentants
Social,,2637,Audenarde,1925,chambre-des-représentants
Frontpartij,,413,Audenarde,1925,chambre-des-représentants
Cath/Kath,,1272,Avelgem,1925,chambre-des-représentants
Liberal/Liberaal,,505,Avelgem,1925,chambre-des-représentants
Social,,1186,Avelgem,1925,chambre-des-représentants
Comm,,8,Avelgem,1925,chambre-des-représentants
Frontpartij,,113,Avelgem,1925,chambre-des-représentants
Christ. Werklieden/Ouvri,,800,Avelgem,1925,chambre-des-représentants
Cath/Kath,,1619,Bastogne,1925,chambre-des-représentants
Liberal/Liberaal,,428,Bastogne,1925,chambre-des-représentants
