Parti,Nombre de sièges,Nombre de voix,commune,date,election
MR,,8268,Anderlecht,2014,parlement-de-la-région-de-bruxelles-capitale
GROEN,,625,Anderlecht,2014,parlement-de-la-région-de-bruxelles-capitale
VLAAMS BELANG,,487,Anderlecht,2014,parlement-de-la-région-de-bruxelles-capitale
FDF,,2987,Anderlecht,2014,parlement-de-la-région-de-bruxelles-capitale
open vld,,1122,Anderlecht,2014,parlement-de-la-région-de-bruxelles-capitale
ECOLO,,2985,Anderlecht,2014,parlement-de-la-région-de-bruxelles-capitale
PS,,12974,Anderlecht,2014,parlement-de-la-région-de-bruxelles-capitale
SP.A,,1498,Anderlecht,2014,parlement-de-la-région-de-bruxelles-capitale
NVA,,1164,Anderlecht,2014,parlement-de-la-région-de-bruxelles-capitale
CDH,,4660,Anderlecht,2014,parlement-de-la-région-de-bruxelles-capitale
CD&V,,745,Anderlecht,2014,parlement-de-la-région-de-bruxelles-capitale
Parti Populaire,,1066,Anderlecht,2014,parlement-de-la-région-de-bruxelles-capitale
PTB*PVDA-GO !,,1413,Anderlecht,2014,parlement-de-la-région-de-bruxelles-capitale
VEGA,,131,Anderlecht,2014,parlement-de-la-région-de-bruxelles-capitale
LA DROITE,,499,Anderlecht,2014,parlement-de-la-région-de-bruxelles-capitale
DEBOUT LES BELGES!,,1310,Anderlecht,2014,parlement-de-la-région-de-bruxelles-capitale
GAUCHES COMMUNES,,62,Anderlecht,2014,parlement-de-la-région-de-bruxelles-capitale
NATION,,168,Anderlecht,2014,parlement-de-la-région-de-bruxelles-capitale
Parti Libertarien,,48,Anderlecht,2014,parlement-de-la-région-de-bruxelles-capitale
Égalitaires ! ,,67,Anderlecht,2014,parlement-de-la-région-de-bruxelles-capitale
ISLAM,,1154,Anderlecht,2014,parlement-de-la-région-de-bruxelles-capitale
PROBRUXSEL,,198,Anderlecht,2014,parlement-de-la-région-de-bruxelles-capitale
PROBRUXSEL N,,59,Anderlecht,2014,parlement-de-la-région-de-bruxelles-capitale
PENSIO(E)N PLUS,,63,Anderlecht,2014,parlement-de-la-région-de-bruxelles-capitale
BUB,,71,Anderlecht,2014,parlement-de-la-région-de-bruxelles-capitale
R.W.F,,17,Anderlecht,2014,parlement-de-la-région-de-bruxelles-capitale
R,,44,Anderlecht,2014,parlement-de-la-région-de-bruxelles-capitale
FE-MDCEJ,,15,Anderlecht,2014,parlement-de-la-région-de-bruxelles-capitale
PIRATE,,191,Anderlecht,2014,parlement-de-la-région-de-bruxelles-capitale
MR,,2872,Auderghem,2014,parlement-de-la-région-de-bruxelles-capitale
GROEN,,239,Auderghem,2014,parlement-de-la-région-de-bruxelles-capitale
VLAAMS BELANG,,54,Auderghem,2014,parlement-de-la-région-de-bruxelles-capitale
FDF,,6093,Auderghem,2014,parlement-de-la-région-de-bruxelles-capitale
open vld,,427,Auderghem,2014,parlement-de-la-région-de-bruxelles-capitale
ECOLO,,1567,Auderghem,2014,parlement-de-la-région-de-bruxelles-capitale
PS,,1619,Auderghem,2014,parlement-de-la-région-de-bruxelles-capitale
SP.A,,116,Auderghem,2014,parlement-de-la-région-de-bruxelles-capitale
NVA,,207,Auderghem,2014,parlement-de-la-région-de-bruxelles-capitale
CDH,,891,Auderghem,2014,parlement-de-la-région-de-bruxelles-capitale
CD&V,,208,Auderghem,2014,parlement-de-la-région-de-bruxelles-capitale
Parti Populaire,,230,Auderghem,2014,parlement-de-la-région-de-bruxelles-capitale
PTB*PVDA-GO !,,319,Auderghem,2014,parlement-de-la-région-de-bruxelles-capitale
VEGA,,52,Auderghem,2014,parlement-de-la-région-de-bruxelles-capitale
LA DROITE,,93,Auderghem,2014,parlement-de-la-région-de-bruxelles-capitale
DEBOUT LES BELGES!,,148,Auderghem,2014,parlement-de-la-région-de-bruxelles-capitale
GAUCHES COMMUNES,,25,Auderghem,2014,parlement-de-la-région-de-bruxelles-capitale
NATION,,34,Auderghem,2014,parlement-de-la-région-de-bruxelles-capitale
Parti Libertarien,,15,Auderghem,2014,parlement-de-la-région-de-bruxelles-capitale
Égalitaires ! ,,4,Auderghem,2014,parlement-de-la-région-de-bruxelles-capitale
ISLAM,,54,Auderghem,2014,parlement-de-la-région-de-bruxelles-capitale
PROBRUXSEL,,116,Auderghem,2014,parlement-de-la-région-de-bruxelles-capitale
PROBRUXSEL N,,38,Auderghem,2014,parlement-de-la-région-de-bruxelles-capitale
PENSIO(E)N PLUS,,5,Auderghem,2014,parlement-de-la-région-de-bruxelles-capitale
BUB,,10,Auderghem,2014,parlement-de-la-région-de-bruxelles-capitale
R.W.F,,10,Auderghem,2014,parlement-de-la-région-de-bruxelles-capitale
R,,37,Auderghem,2014,parlement-de-la-région-de-bruxelles-capitale
FE-MDCEJ,,1,Auderghem,2014,parlement-de-la-région-de-bruxelles-capitale
PIRATE,,123,Auderghem,2014,parlement-de-la-région-de-bruxelles-capitale
MR,,2538,Berchem-Sainte-Agathe,2014,parlement-de-la-région-de-bruxelles-capitale
GROEN,,195,Berchem-Sainte-Agathe,2014,parlement-de-la-région-de-bruxelles-capitale
VLAAMS BELANG,,140,Berchem-Sainte-Agathe,2014,parlement-de-la-région-de-bruxelles-capitale
